
log with random0.121524513420745
log with random0.2309430478940393
log with random0.9181719641957662
log with random0.8338604158191685
log with random0.7875577000711684
log with random0.6076310460335193
log with random0.7270300425233629
log with random0.05152285382492505
log with random0.3548948785821191
log with random0.5647455140766218
log with random0.994014156778104
log with random0.7711112100640245
log with random0.5266524862679725
log with random0.45465573406014204
log with random0.769109139331517
log with random0.7936264817000676
log with random0.33320967242171196
log with random0.37310208797658495
log with random0.24600768585687716
log with random0.9331885486585201
log with random0.19682724190484735
log with random0.26692163617983833
log with random0.9733019346341047
log with random0.48618556774615107
log with random0.18766263718924625
log with random: 0.5920295521100476
log with random: 0.08446687000164776
log with random: 0.43967043894121516
log with random: 0.5441652184963242
log with random: 0.5126480351814864
log with random: 0.5542140527447865
log with random: 0.06903349164949257
log with random: 0.4064242686965187
log with random: 0.6510668457573778
log with random: 0.43587674792825704
log with random: 0.08116729293832892
log with random: 0.7269152583843033
log with random: 0.012000646625520028
log with random: 0.05351975759842076
log with random: 0.7051046232713323
log with random: 0.45120480453649714
log with random: 0.14985947127092492
log with random: 0.35598034233267417
log with random: 0.5622658940200831
log with random: 0.2530803481112338
log with random: 0.8229491555381949
log with random: 0.47585200136454975
log with random: 0.4133395193325693
log with random: 0.8486781332915827
log with random: 0.5418260228018852
log with random: 0.8313133370512678
log with random: 0.32919728165902473
log with random: 0.1247524181175268
log with random: 0.7693814066167113
log with random: 0.28182790643130917
log with random: 0.8654648784134911
log with random: 0.4287586701280297
log with random: 0.13996737002603665
log with random: 0.769223967716474
log with random: 0.8400368358377999
log with random: 0.547097026201226
log with random: 0.7368037497344369
log with random: 0.7374414692698419
log with random: 0.36378230083603547
log with random: 0.0790781473570441
log with random: 0.0003570120370972596
log with random: 0.93334436454913
log with random: 0.309292060739915
log with random: 0.002276415342274518
log with random: 0.9468002002244329
log with random: 0.3608875928057351
log with random: 0.9935881670345179
log with random: 0.5809425154214976
log with random: 0.19898434215377314
log with random: 0.633703234281014
log with random: 0.5274946308933852
log with random: 0.795165549663351
log with random: 0.8911249147183484
log with random: 0.789862669788882
log with random: 0.6096864605666092
log with random: 0.8745608325361041
log with random: 0.17276762252326838
log with random: 0.1627643549668656
log with random: 0.6843464719287049
log with random: 0.8649479474450121
log with random: 0.9474443446785226
log with random: 0.34556063658575176
log with random: 0.9508086323841431
log with random: 0.127628279495555
log with random: 0.20517086640194937
log with random: 0.9419860071385342
log with random: 0.9105330935916258
log with random: 0.3448424804629642
log with random: 0.9813100588784405
log with random: 0.7951433386062918
log with random: 0.7244682203662312
log with random: 0.15734878118370976
log with random: 0.7123020067486006
log with random: 0.4832505080978089
log with random: 0.5213486270413623
log with random: 0.22525880791570718
log with random: 0.014279762957461806
log with random: 0.2413741997553045
log with random: 0.5239604963198177
log with random: 0.5569740119796236
log with random: 0.7360569451256691
log with random: 0.5319302290604544
log with random: 0.8153829476071723
log with random: 0.5212241710692955
log with random: 0.7509633323230789
log with random: 0.2338438041830897
log with random: 0.47140073978628316
log with random: 0.17816805262738233
log with random: 0.3125806514920071
log with random: 0.802610619811563
log with random: 0.7672879894511635
log with random: 0.6303719703928397
log with random: 0.10447666631075814
log with random: 0.041300960517991925
log with random: 0.2509159665637628
log with random: 0.2620185560667101
log with random: 0.3359939058291004
log with random: 0.12182066638332012
log with random: 0.37906532367200607
log with random: 0.697539721489727
log with random: 0.004685542142693677
log with random: 0.6162873143334098
error with random: 0.970024572698444
error with random: 0.09979186113314631
error with random: 0.017617711942124803
success with random: 0.5507647648484184
success with random: 0.9645027054125992
success with random: 0.23342588676151177
success with random: 0.2950017931663298
error with random: 0.02270479866002484
success with random: 0.9772694293439301
error with random: 0.8732252170739951
error with random: 0.60653497109089
error with random: 0.7186332916001721
error with random: 0.6043811270187107
error with random: 0.7309557678814229
success with random: 0.2448120589986722
success with random: 0.5809727562613836
error with random: 0.04620565319421521
error with random: 0.9082566332134008
success with random: 0.8763352918532745
error with random: 0.18426488410650776
error with random: 0.6355239231948326
error with random: 0.1234755188974499
error with random: 0.7307859134450168
error with random: 0.8630246542402864
error with random: 0.3268792602946766
success with random: 0.7961055777036223
error with random: 0.5373509033931783
success with random: 0.584416475393267
success with random: 0.3731226241258798
success with random: 0.17889143446916633
error with random: 0.6149597672270781
success with random: 0.629208780550379
error with random: 0.4192770512397215
error with random: 0.7489644571115373
error with random: 0.851280844853882
success with random: 0.3676273121928697
success with random: 0.6759632947528622
success with random: 0.4045695733599528
success with random: 0.8013271629272578
success with random: 0.9931079596478605
success with random: 0.578993017419416
success with random: 0.29431482849541024
success with random: 0.4898766430665833
error with random: 0.7301140633215912
success with random: 0.4422970236611057
success with random: 0.3543196880267234
success with random: 0.29118611637572633
success with random: 0.823217063203713
error with random: 0.7071810451845102
error with random: 0.945986799424954
success with random: 0.7682281737841123
error with random: 0.3535473134789433
success with random: 0.6628004783198702
success with random: 0.5820977008517743
success with random: 0.22122386190403853
success with random: 0.4149104226401461
error with random: 0.7005541647406228
error with random: 0.21090027328200267
error with random: 0.6985955815236036
error with random: 0.8662247053202707
success with random: 0.28930692042938766
error with random: 0.7770634086877004
success with random: 0.4785446429655924
error with random: 0.1919386918045527
error with random: 0.05683947158896285
success with random: 0.7503297596661616
error with random: 0.3246028800335221
success with random: 0.376990437831461
error with random: 0.9124724567502942
error with random: 0.5962953090590228
success with random: 0.43407259039111556
success with random: 0.7572369779049848
success with random: 0.9858879089390495
success with random: 0.2849384977616598
success with random: 0.9473952580350071
success with random: 0.8461304109953014
error with random: 0.27875330322190495
error with random: 0.5023591963830583
error with random: 0.8124739963274494
error with random: 0.47607740686134004
error with random: 0.0997962422977221
success with random: 0.7868312565613109
error with random: 0.10910229893708023
error with random: 0.4959285440964729
error with random: 0.4165714814802486
success with random: 0.011466512672291929
error with random: 0.7899475740459068
success with random: 0.08467561968064685
success with random: 0.8024379772745349
error with random: 0.16614186944563958
error with random: 0.8973022759072169
error with random: 0.2761718188861153
success with random: 0.37656879140215294
success with random: 0.19749378534747986
error with random: 0.7662098174742646
success with random: 0.010163035948909549
